"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-Sep-2018","    10969.95","    11080.60","    10882.85","    11067.45","      417548830","        22878.57"
"26-Sep-2018","    11145.55","    11145.55","    10993.05","    11053.80","      351041146","        17803.68"
"27-Sep-2018","    11079.80","    11089.45","    10953.35","    10977.55","      418210067","        22582.86"
"28-Sep-2018","    11008.10","    11034.10","    10850.30","    10930.45","      492894147","        23227.86"
"01-Oct-2018","    10930.90","    11035.65","    10821.55","    11008.30","      398987274","        20391.72"
"03-Oct-2018","    10982.70","    10989.05","    10843.75","    10858.25","      398756507","        21225.59"
"04-Oct-2018","    10754.70","    10754.70","    10547.25","    10599.25","      438202008","        23711.57"
"05-Oct-2018","    10514.10","    10540.65","    10261.90","    10316.45","      625153832","        25254.21"
"08-Oct-2018","    10310.15","    10398.35","    10198.40","    10348.05","      470279031","        22130.94"
"09-Oct-2018","    10390.30","    10397.60","    10279.35","    10301.05","      443795275","        18285.41"
"10-Oct-2018","    10331.85","    10482.35","    10318.25","    10460.10","      373844130","        19592.59"
"11-Oct-2018","    10169.80","    10335.95","    10138.60","    10234.65","      498509417","        21907.13"
"12-Oct-2018","    10331.55","    10492.45","    10322.15","    10472.50","      354056762","        18606.04"
"15-Oct-2018","    10524.20","    10526.30","    10410.15","    10512.50","      267517728","        14372.15"
"16-Oct-2018","    10550.15","    10604.90","    10525.30","    10584.75","      273444095","        15453.03"
"17-Oct-2018","    10688.70","    10710.15","    10436.45","    10453.05","      293586908","        17173.14"
"19-Oct-2018","    10339.70","    10380.10","    10249.60","    10303.55","      368552204","        20505.66"
"22-Oct-2018","    10405.85","    10408.55","    10224.00","    10245.25","      306472776","        17241.94"
"23-Oct-2018","    10152.60","    10222.10","    10102.35","    10146.80","      312042090","        18114.71"
"24-Oct-2018","    10278.15","    10290.65","    10126.70","    10224.75","      362272428","        19413.24"
"25-Oct-2018","    10135.05","    10166.60","    10079.30","    10124.90","      522421914","        23503.76"
"26-Oct-2018","    10122.35","    10128.85","    10004.55","    10030.00","      375563273","        16120.14"
"29-Oct-2018","    10078.10","    10275.30","    10020.35","    10250.85","      375749433","        17514.85"
"30-Oct-2018","    10239.40","    10285.10","    10175.35","    10198.40","      298753965","        14789.51"
"31-Oct-2018","    10209.55","    10396.00","    10105.10","    10386.60","      386618948","        21513.85"
"01-Nov-2018","    10441.70","    10441.90","    10341.90","    10380.45","      359340403","        18111.88"
"02-Nov-2018","    10462.30","    10606.95","    10457.70","    10553.00","      434175607","        21758.80"
"05-Nov-2018","    10558.75","    10558.80","    10477.00","    10524.00","      311176379","        14761.17"
"06-Nov-2018","    10552.00","    10600.25","    10491.45","    10530.00","      309878810","        14006.19"
"07-Nov-2018","    10614.45","    10616.45","    10582.30","    10598.40","       32194181","         1534.08"
"09-Nov-2018","    10614.70","    10619.55","    10544.85","    10585.20","      305817331","        15294.83"
"12-Nov-2018","    10607.80","    10645.50","    10464.05","    10482.20","      267710127","        13445.33"
"13-Nov-2018","    10451.90","    10596.25","    10440.55","    10582.50","      262541595","        13078.98"
"14-Nov-2018","    10634.90","    10651.60","    10532.70","    10576.30","      396373781","        19374.89"
"15-Nov-2018","    10580.60","    10646.50","    10557.50","    10616.70","      306011926","        14937.67"
"16-Nov-2018","    10644.00","    10695.15","    10631.15","    10682.20","      353384918","        16728.88"
"19-Nov-2018","    10731.25","    10774.70","    10688.80","    10763.40","      280522364","        13540.90"
"20-Nov-2018","    10740.10","    10740.85","    10640.85","    10656.20","      304322623","        13077.24"
"21-Nov-2018","    10670.95","    10671.30","    10562.35","    10600.05","      310191008","        15382.32"
"22-Nov-2018","    10612.65","    10646.25","    10512.00","    10526.75","      246926671","        12254.36"
"26-Nov-2018","    10568.30","    10637.80","    10489.75","    10628.60","      332863041","        15927.25"
"27-Nov-2018","    10621.45","    10695.15","    10596.35","    10685.60","      382834178","        17296.28"
"28-Nov-2018","    10708.75","    10757.80","    10699.85","    10728.85","      437627174","        17737.28"
"29-Nov-2018","    10808.70","    10883.05","    10782.35","    10858.70","      712650890","        26283.43"
"30-Nov-2018","    10892.10","    10922.45","    10835.10","    10876.75","      467857329","        19964.33"
"03-Dec-2018","    10930.70","    10941.20","    10845.35","    10883.75","      422358631","        18484.91"
"04-Dec-2018","    10877.10","    10890.95","    10833.35","    10869.50","      332137359","        15857.16"
"05-Dec-2018","    10820.45","    10821.05","    10747.95","    10782.90","      322019985","        15176.26"
"06-Dec-2018","    10718.15","    10722.65","    10588.25","    10601.15","      328275196","        16488.87"
"07-Dec-2018","    10644.80","    10704.55","    10599.35","    10693.70","      335849636","        18597.83"
"10-Dec-2018","    10508.70","    10558.85","    10474.95","    10488.45","      393097292","        16524.36"
"11-Dec-2018","    10350.05","    10567.15","    10333.85","    10549.15","      438699334","        20112.91"
"12-Dec-2018","    10591.00","    10752.20","    10560.80","    10737.60","      371697496","        17447.45"
"13-Dec-2018","    10810.75","    10838.60","    10749.50","    10791.55","      387810061","        17582.80"
"14-Dec-2018","    10784.50","    10815.75","    10752.10","    10805.45","      350579275","        14486.10"
"17-Dec-2018","    10853.20","    10900.35","    10844.85","    10888.35","      306145514","        12528.59"
"18-Dec-2018","    10850.90","    10915.40","    10819.10","    10908.70","      294942271","        13556.45"
"19-Dec-2018","    10930.55","    10985.15","    10928.00","    10967.30","      321801803","        17172.64"
